Origin,Year,Patent_Applications,Researchers in R&D (per million people),GDP per Capita (USD),Research and development expenditure (% of GDP),Unemployemnt total (% of total labor force) ,Country Code,gdp_growth,pop_growth,net_flow,edu_exp,stem_graduates
Argentina,2015,856.0,1231.4866,13679.6264980954,0.622619986534119,7.579,ARG,2.73116,1.078,,,
Austria,2015,11261.0,5074.43,43915.228020857,3.04969000816345,5.802,AUT,1.0145,1.12099,50254.34765625,5.848229885101318,29.271710395812985
Belgium,2015,8979.0,4741.8604,40893.804537772,2.42816996574402,8.482,BEL,2.04146,0.57945,42932.0,7.12338399887085,17.38283026218414
Bulgaria,2015,467.0,1939.1442,7078.86032298969,0.949469983577728,9.143,BGR,3.39755,-0.63807,-12491.0,,20.793080568313595
Canada,2015,23258.0,4582.3794,43594.1941045394,1.69359004497528,6.945,CAN,0.64997,0.7603,121634.0,5.8156418800354,20.027499914169308
China,2015,1010391.0,1164.9403,8016.44559489998,2.05700993537903,4.65,CHN,7.04133,0.58146,-695488.0,,
Croatia,2015,230.0,1490.7673,12285.3032582105,0.823780000209808,16.175,HRV,2.54913,-0.8241,-8025.0,,23.862879753112793
Cyprus,2015,287.0,1010.6162,23487.228515625,0.47529000043869,15.026,CYP,3.41892,0.87004,-19019.0,8.551782608032227,17.37817001342773
Czechia,2015,1933.0,3619.2927,17931.5987670768,1.91689002513885,5.048,CZE,5.38838,0.19659,29194.0,6.352688789367676,23.171870231628418
Denmark,2015,8850.0,7561.0166,53094.0133607574,3.05497002601624,6.278,DNK,2.34259,0.70642,27218.0,,19.62434005737305
Estonia,2015,176.0,3188.2612,17722.1557669523,1.4677699804306,6.412,EST,1.85302,0.06555,-1474.0,,26.470299720764164
Finland,2015,10000.0,6856.335,42560.3456767103,2.87195992469788,9.376,FIN,0.54366,0.32938,13804.0,7.427643775939941,28.48544979095459
France,2015,56271.0,4386.2363,36702.4323733379,2.2270200252533,10.354,FRA,1.11291,0.35557,152529.0,,25.267130136489868
Georgia,2015,123.0,1366.2043,4086.6223465965,0.293969988822937,16.506,GEO,3.35102,0.15748,-4091.0,,
Germany,2015,143155.0,4733.3584,41911.0109851054,2.9337899684906,4.612,DEU,1.49193,0.8657,111613.0,5.567033767700195,36.74025058746338
Hungary,2015,1225.0,2568.3477,12717.038597002,1.33958995342255,6.813,HUN,3.70732,-0.23786,11064.0,,22.067599773406986
Ireland,2015,4927.4,5282.9497,64311.8234684057,1.1797399520874,9.908,IRL,24.47525,0.94485,740.0,4.091948986053467,24.866659641265873
Italy,2015,25649.4,2087.5576,30387.1293187854,1.33850002288818,11.896,ITA,0.7783,-0.09638,29446.0,5.071897983551025,23.345800399780273
